layer,cosine_similarity,magnitude_ratio,prompted_magnitude,steering_magnitude,prompted_participation_ratio,steering_participation_ratio,prompted_effective_dim,steering_effective_dim,prompted_top10_concentration,steering_top10_concentration
16,0.43626996874809265,0.6123623847961426,3.603888750076294,5.885222434997559,0.055497102439403534,0.0029462375678122044,0.6501284837722778,0.4953905940055847,0.3410114645957947,0.4552375078201294
17,0.4581702649593353,0.6968502998352051,4.7188496589660645,6.771683216094971,0.06142686679959297,0.00433490751311183,0.6598685383796692,0.5456095933914185,0.33525943756103516,0.41665583848953247
18,0.43483951687812805,0.7093685865402222,4.9859395027160645,7.028700828552246,0.06194810941815376,0.005536473821848631,0.6564076542854309,0.5348516702651978,0.3383459448814392,0.4238232672214508
19,0.3814442753791809,0.6910770535469055,5.606466293334961,8.112649917602539,0.06565529108047485,0.006969566456973553,0.6507636308670044,0.5373771786689758,0.34170687198638916,0.42366358637809753
20,0.370973140001297,0.6766839623451233,5.659980297088623,8.364289283752441,0.06141338869929314,0.006180569063872099,0.6446647644042969,0.524760365486145,0.3494505286216736,0.4328570067882538
21,0.40158408880233765,0.7202053666114807,6.028172492980957,8.370074272155762,0.056842904537916183,0.008181394077837467,0.6452964544296265,0.5273941159248352,0.3495998680591583,0.43026915192604065
22,0.47040635347366333,0.7167072892189026,7.955323219299316,11.099822044372559,0.05470551177859306,0.01331569254398346,0.6481641530990601,0.55115807056427,0.34977734088897705,0.41397544741630554
23,0.43075937032699585,0.7901159524917603,9.67992115020752,12.251266479492188,0.060638315975666046,0.015967421233654022,0.6567711234092712,0.5391126871109009,0.3410699963569641,0.42172521352767944
24,0.4864550828933716,0.9314358830451965,14.683649063110352,15.764530181884766,0.058061689138412476,0.019849728792905807,0.6532137989997864,0.544482409954071,0.3445417582988739,0.4179892838001251
25,0.45504626631736755,0.9434646964073181,16.048498153686523,17.010173797607422,0.059732586145401,0.021020295098423958,0.6641964912414551,0.5495200753211975,0.33655229210853577,0.41622042655944824
26,0.4990924000740051,0.8912139534950256,18.690519332885742,20.97197723388672,0.06408467143774033,0.025970185175538063,0.6687087416648865,0.5504292249679565,0.33228760957717896,0.4166669249534607
27,0.48308300971984863,0.8924673199653625,21.191967010498047,23.745370864868164,0.06262816488742828,0.027242159470915794,0.6697787642478943,0.5595496296882629,0.3285931944847107,0.40717658400535583
28,0.4569672644138336,0.969825804233551,25.083412170410156,25.863832473754883,0.0756063163280487,0.029418835416436195,0.6839758157730103,0.5619651675224304,0.3181488811969757,0.4049965441226959
29,0.4747906029224396,0.9374183416366577,27.07767105102539,28.885364532470703,0.08694379776716232,0.033600933849811554,0.6838043332099915,0.5822072625160217,0.3160015642642975,0.39270463585853577
30,0.47200778126716614,0.8454271554946899,34.66065216064453,40.997798919677734,0.08660324662923813,0.03544267639517784,0.6751111149787903,0.5776866674423218,0.32314836978912354,0.3956995904445648
31,0.46412160992622375,0.8490425944328308,37.718257904052734,44.42445755004883,0.08907395601272583,0.03467483073472977,0.6725496053695679,0.582770824432373,0.3205479681491852,0.3918118476867676
32,0.43737977743148804,0.8275414705276489,41.131473541259766,49.703216552734375,0.09765900671482086,0.03508119657635689,0.6880084276199341,0.5922645926475525,0.3146379888057709,0.38531652092933655
33,0.4619795083999634,0.8072465062141418,45.96419143676758,56.939476013183594,0.10440049320459366,0.03040175512433052,0.6849566102027893,0.5993109345436096,0.3142075538635254,0.3790719509124756
34,0.4518420100212097,0.7998159527778625,55.19646453857422,69.01145935058594,0.10137264430522919,0.03850141167640686,0.6945216655731201,0.6279532313346863,0.30859336256980896,0.35616737604141235
35,0.5079147219657898,0.8486287593841553,73.85856628417969,87.0328369140625,0.07599308341741562,0.032943062484264374,0.6776209473609924,0.6322115063667297,0.32076695561408997,0.35648155212402344
